"religion","trust","year","physical.public","physical.public.base","physical.manager","physical.manager.base","physical.colleague","physical.colleague.base","emotional.public","emotional.public.base","emotional.manager","emotional.manager.base","emotional.colleague","emotional.colleague.base","stress.stress","stress.stress.base","gender.gender","gender.gender.base","physician.physician","physician.physician.base"
"Buddhist","acute_specialist",2018,0.109615384615385,106,0.00328947368421055,105,0.030849358974359,105,0.242103556166056,106,0.175882615191826,105,0.234307523616734,105,0.391277472527473,106,0.694229034854035,102,0.227192078754579,106
"Buddhist","acute_specialist",2019,0.113095238095238,111,0,111,0.0214285714285715,108,0.259218559218559,108,0.071635962077139,109,0.243677470988395,106,0.45739428699955,109,0.836097455176402,111,0.131077694235589,110
"Buddhist","acute_specialist",2020,0.0641490088858511,142,0.00420168067226882,141,0.0157817672523554,143,0.221764495271793,140,0.104755538579068,142,0.243711423963525,140,0.310816144639674,143,0.680525846702317,144,0.133067772563571,142
"Buddhist","acute+acute&community",2018,0.141214868904879,1996,0.0107710796017255,1967,0.0255738389770499,1967,0.280064336971749,1992,0.14152042300141,1967,0.226457606966304,1966,0.376095079393843,1995,0.647726166492545,1983,0.26265809247304,1915
"Buddhist","acute+acute&community",2019,0.153460028342611,2496,0.0147402784397209,2479,0.0314990842684885,2459,0.317096786037201,2491,0.13818046107616,2474,0.232068414945456,2464,0.392308787045313,2495,0.666514468626089,2500,0.292286830302408,2433
"Buddhist","acute+acute&community",2020,0.146658599228019,2578,0.00934734773121676,2561,0.0213190031338989,2554,0.261282937314823,2540,0.129916371183012,2531,0.223224457629441,2520,0.432050701021662,2576,0.691039437008521,2569,0.273325251956515,2520
"Buddhist","ambulance",2018,0.451500074000074,106,0,106,0.0531986531986531,106,0.578664483664484,106,0.285690050690051,106,0.28021756021756,103,0.694186461686462,106,0.315970418470418,103,0,101
"Buddhist","ambulance",2019,0.336672679172679,130,0.0203703703703704,130,0.0341798941798942,128,0.537866809116809,129,0.263138759388759,129,0.224918831168831,129,0.533095839345839,130,0.331922799422799,129,0,129
"Buddhist","ambulance",2020,0.325560224089636,126,0.0183549783549782,124,0.0738149350649353,124,0.551165648077413,125,0.195194805194805,125,0.182133307868602,125,0.646550802139037,126,0.413253756047874,126,0,126
"Buddhist","clinical_commissioning",2018,0.0128205128205128,34,0,34,0,34,0.262820512820513,34,0.205128205128205,34,0.166666666666667,34,0.416666666666667,32,0.72,32,0.106060606060606,29
"Buddhist","clinical_commissioning",2019,0,42,0,42,0.0384615384615384,42,0.141025641025641,42,0.330128205128205,42,0.272435897435897,42,0.384615384615385,42,0.682692307692308,42,0.0897435897435897,42
"Buddhist","clinical_commissioning",2020,0,46,0,46,0,46,0.179012345679012,46,0.259259259259259,46,0.123456790123457,46,0.441358024691358,46,0.756172839506173,46,0.037037037037037,46
"Buddhist","community",2018,0.0834303350970018,126,0,122,0.00266666666666694,122,0.320442335442335,125,0.205595638928972,124,0.245149295149295,124,0.433534551867885,127,0.698473748473748,124,0.0818253968253968,125
"Buddhist","community",2019,0.0797084859584861,117,0,117,0,117,0.350612745098039,117,0.211698717948718,114,0.240219907407407,114,0.496589781746032,117,0.713789682539682,118,0.136706349206349,117
"Buddhist","community",2020,0.0681349206349204,108,0.00833333333333314,108,0.0166666666666667,108,0.239246031746032,107,0.175357142857143,107,0.141111111111111,105,0.555270935960591,106,0.736529830322934,107,0.140079365079365,107
"Buddhist","mental+mental&community",2018,0.168718128465899,705,0.00701118516920951,698,0.0105255594264468,697,0.33103979324512,706,0.137610020360006,706,0.186094316324877,702,0.462302171869036,708,0.605777245371964,701,0.117335992173955,677
"Buddhist","mental+mental&community",2019,0.17300191328832,759,0.00592048303382829,755,0.0203762730830194,751,0.382351448201703,757,0.148809579736099,753,0.214528183197798,750,0.491523113994382,763,0.608299827013793,755,0.136322805524666,750
"Buddhist","mental+mental&community",2020,0.159649706691312,814,0.00721951502494534,807,0.0147558337264221,805,0.293885376059961,799,0.13930812585606,793,0.203431398631495,796,0.487420068173574,811,0.64485074279663,811,0.105650525405279,800
"Christian","acute_specialist",2018,0.0671125821336153,9009,0.00463823870948716,8885,0.0120375281527843,8846,0.204593806915229,8999,0.127625328537914,8887,0.197130924381421,8855,0.358169367761313,8980,0.812648564634295,8966,0.0636249411535558,8775
"Christian","acute_specialist",2019,0.0638693547306755,8287,0.00384728442891259,8224,0.0126870629369427,8181,0.203248513477264,8270,0.110693483089441,8210,0.193650877464534,8176,0.347184847991545,8299,0.802273792996808,8296,0.0588272460111774,8153
"Christian","acute_specialist",2020,0.0611620576485052,8492,0.00622090644510436,8460,0.0135090320440447,8391,0.176955001563354,8395,0.114726115623195,8360,0.181146084991869,8327,0.38256170516933,8476,0.795869590477728,8470,0.0657532944875651,8365
"Christian","acute+acute&community",2018,0.140520355956057,159955,0.00679305711674647,157386,0.0184164463580225,157171,0.283978602030166,159548,0.132740129182268,157590,0.200032062609913,157218,0.374170415639331,159569,0.833052756027851,159104,0.0640329044854598,156121
"Christian","acute+acute&community",2019,0.145721295366641,184039,0.00628543327333565,182693,0.0172726777482559,181774,0.287769207697273,183414,0.122603073517178,182155,0.198520233555718,181745,0.380214881276291,183905,0.826009889603311,183844,0.0631086633651316,181195
"Christian","acute+acute&community",2020,0.139684965386049,187600,0.00626966175441936,186717,0.0158767015135219,185998,0.266313173094301,184305,0.123720680204522,183399,0.197189849649092,182954,0.422876144874231,187466,0.82793367425616,186873,0.0647183426028485,184755
"Christian","ambulance",2018,0.294597653723357,8621,0.00769040972636148,8533,0.0146781380612228,8522,0.426358190743173,8606,0.165502766766108,8552,0.181833042218073,8526,0.463588200665482,8612,0.485587136587755,8580,0.00121524378195954,8381
"Christian","ambulance",2019,0.300326399705004,9351,0.00596708004127777,9284,0.018270938882295,9241,0.434991277995742,9328,0.157381956686217,9286,0.181384450039294,9248,0.462077722355303,9354,0.494336671025732,9329,0.00167139690841632,9270
"Christian","ambulance",2020,0.280382141101481,9928,0.00787663289687046,9908,0.0177818984994383,9884,0.410824410727366,9763,0.156881714825267,9739,0.186037619758363,9737,0.451801125133976,9926,0.521079804756445,9926,0.00211090446261409,9825
"Christian","clinical_commissioning",2018,0.0116261960168269,3273,0.00207765422905524,3231,0.00295774101494899,3226,0.106097977486576,3268,0.124940047539921,3245,0.126570036928778,3233,0.344523459485269,3274,0.80220695374881,3255,0.0224760959004076,3141
"Christian","clinical_commissioning",2019,0.00669961882894555,3734,0.00139811416368602,3731,0.00362488845351422,3723,0.109644190516324,3711,0.112594034223882,3713,0.129755321149396,3704,0.318864722560604,3731,0.806001140252672,3731,0.027368934754557,3695
"Christian","clinical_commissioning",2020,0.0066120614376986,4323,0.00169335266897747,4321,0.00145821692054355,4307,0.0924291821370632,4168,0.0980707212423309,4159,0.103987266323585,4152,0.339842447266642,4319,0.81775378976922,4314,0.0265977745114779,4265
"Christian","community",2018,0.0742324397477907,11614,0.0034057411675866,11475,0.00901829894748346,11437,0.247865405137874,11588,0.107014044342902,11452,0.155917729245386,11426,0.393669239383807,11589,0.902377312847373,11537,0.0284802545729444,11301
